subject,relation,object
central character,is,Harry Potter
central character,is,wizard
central character,lives in,ordinary world of non-magical people known as Muggles
central character,lives in,ordinary world of people
central character,lives in,ordinary world of people known
central character,lives in,world of people known
character,lives in,ordinary world of non-magical people known
character,lives in,world
character,lives in,world of people
character,lives in,world of non-magical people known
character,discovers at,age
character,lives in,ordinary world
central character,is in,series aunt
character,lives in,ordinary world of people known as Muggles
central character,is in,series
Surrey,is with,central character in series aunt
central character,lives in,world of non-magical people
character,is,wizard
character,discovers at,age of eleven
central character,lives in,world of people
central character,lives in,world of people known as Muggles
central character,lives in,ordinary world of people known as Muggles
central character,lives in,ordinary world of non-magical people
character,lives in,ordinary world of non-magical people known as Muggles
character,is,Harry Potter
character,lives in,world of non-magical people
central character,lives in,world of non-magical people known as Muggles
central character,lives in,world
central character,lives in,world of non-magical people known
central character,discovers at,age of eleven
central character,lives in,ordinary world
character,lives in,ordinary world of non-magical people
character,lives in,ordinary world of people known
Harry Potter,Surrey with,central character in series aunt
central character,lives in,ordinary world of non-magical people known
central character,discovers at,age
character,lives in,world of people known
character,lives in,world of non-magical people known as Muggles
character,lives in,ordinary world of people
character,lives in,world of people known as Muggles
ordinary world,known,Muggles exists
ordinary world,known,as Muggles exists
world,known,as Muggles exists parallel
world,known,as Muggles exists parallel to Muggle world
world,known,Muggles exists parallel
ordinary world,known,as Muggles exists parallel
ordinary world,known,Muggles exists parallel to Muggle world
ordinary world,known,Muggles exists parallel
world,known,as Muggles exists
world,known,Muggles exists parallel to Muggle world
ordinary world,known,as Muggles exists parallel to Muggle world
world,known,Muggles exists
necessary skills,succeed in,world of non-magical people
necessary skills,succeed in,ordinary world of people known
necessary skills,succeed in,ordinary world of people known as Muggles
necessary skills,succeed in,world of people
skills,succeed in,world of non-magical people
necessary skills,succeed in,ordinary world
skills,succeed in,ordinary world of people
skills,succeed in,world of people known
necessary skills,succeed in,ordinary world of people
skills,succeed in,world
children,attend,exclusive magic schools
necessary skills,succeed in,ordinary world of non-magical people
skills,succeed in,ordinary world of non-magical people
skills,succeed in,ordinary world
necessary skills,succeed in,world
necessary skills,succeed in,world of non-magical people known
skills,succeed in,world of non-magical people known
necessary skills,succeed in,world of people known as Muggles
skills,succeed in,ordinary world of people known as Muggles
skills,succeed in,ordinary world of people known
necessary skills,succeed in,ordinary world of non-magical people known as Muggles
children,attend,magic schools
skills,succeed in,world of people known as Muggles
necessary skills,succeed in,world of non-magical people known as Muggles
necessary skills,succeed in,ordinary world of non-magical people known
skills,succeed in,ordinary world of non-magical people known
character,is,inborn
skills,succeed in,world of people
children,is with,such abilities
skills,succeed in,world of non-magical people known as Muggles
skills,succeed in,ordinary world of non-magical people known as Muggles
necessary skills,succeed in,world of people known
children,are,invited
Hogwarts School,academy in,Scotland
Harry,student at,Hogwarts School of Witchcraft
wizarding academy,is in,Scotland
Harry,student at,wizarding academy
Harry,becomes,student at Hogwarts School
Harry,student at,academy
Harry,becomes,student at Hogwarts School of Witchcraft
Harry,becomes,student
events,is in,series
Witchcraft,of School is,wizarding academy in Scotland
Harry,student at,wizarding academy in Scotland
Harry,develops through,Harry adolescence
Harry,learns,As Harry develops through Harry adolescence
wizarding Britain,in,increasingly violent second wizarding war
Harry,learns,Harry develops through Harry adolescence
Harry,overcome,problems
Harry,learns,Harry develops
Harry,learns,As Harry develops
Harry,in,life
novel,chronicles at_time,one year
environment,is,intimately connected
environment,is,connected
environment,is connected to,reality
environment,is intimately connected to,reality
Philosopher,has,Stone
community,is inspired by,1990s culture
world,exists,While universe
world,exists parallel,universe
world,contains versions,action set
world,contains versions,action set in Scotland
wizarding world,contains versions,with action set
wizarding world,contains versions,action mostly set in Scotland
fantasy land,is,universe
wizarding world,contains versions,action set in Scotland
wizarding world,exists parallel,While alternate universe
action,mostly set in,Scotland
world,exists parallel,While universe
world,exists parallel,alternate universe
wizarding world,contains versions,action mostly set
wizarding world,exists,While alternate universe
world,contains versions,action mostly set in Scotland
world,contains versions,with action set
wizarding world,contains versions,with action mostly set
wizarding world,contains versions,action set
Surrey,is in,southeast England
world,exists,While alternate universe
world,contains,versions
world,contains versions,action mostly set
world,exists parallel,While alternate universe
fantasy land,is,While alternate universe
world,contains versions,with action mostly set in Scotland
world,exists,alternate universe
fantasy land,Lord of,Rings ' Middle earth
wizarding world,exists,alternate universe
wizarding world,contains,versions
wizarding world,exists parallel,alternate universe
wizarding world,exists parallel,universe
wizarding world,contains versions,with action mostly set in Scotland
fantasy land,is,While universe
wizarding world,exists,universe
wizarding world,exists,While universe
action,set in,Scotland
land,is,alternate
world,contains versions,with action set in Scotland
fantasy land,is,alternate universe
world,contains versions,with action mostly set
wizarding world,exists parallel,While universe
world,comprises,collection
fragmented collection,world,castles invisible to Muggle population
real world,comprises,collection of streets
real world accessible,comprises,collection of hidden streets
real world,comprises,collection of hidden streets
world,comprises,collection of streets
collection,real world,castles
collection,world,castles
real world,comprises,collection of overlooked hidden streets
world accessible,comprises,collection
collection,world,castles invisible
world accessible,comprises,collection of overlooked hidden streets
world accessible,comprises,collection of hidden streets
real world accessible,comprises,collection of overlooked streets
collection,world,lonely country manors
fragmented collection,world,castles invisible
collection,world,pubs
real world accessible,comprises,collection of streets
world accessible,comprises,collection of streets
collection,world,castles invisible to Muggle population
world,comprises,collection of overlooked streets
fragmented collection,real world,castles
real world accessible,comprises,collection of overlooked hidden streets
real world,comprises,collection
collection,real world,castles invisible to Muggle population
real world accessible,comprises,collection
collection,world,country manors
collection,world,ancient pubs
collection,real world,castles invisible
collection,real world,country manors
fragmented collection,real world,castles invisible to Muggle population
world,comprises,collection of overlooked hidden streets
world,comprises,collection of hidden streets
collection,real world,ancient pubs
world accessible,comprises,collection of overlooked streets
fragmented collection,world,castles
collection,real world,lonely country manors
real world,comprises,collection of overlooked streets
event,taken place in,real world
significant event,taken,place
event,taken place in,world
it,is apparent at_time,Early years
significant event,taken place in,real world
event,taken,place
significant event,taken place in,world
it,is apparent at_time,years
past,is,revealed throughout series
past,is,revealed gradually
past,is,revealed
past,is,revealed gradually throughout series
Harry 's aunt,learning about,his abilities efforts
uncle 's prevention,learning Despite,Harry 's aunt learning
uncle,has,desperate prevention of Harry
uncle 's desperate prevention,learning Despite,Harry 's aunt learning about Harry abilities
Harry 's aunt,learning Despite,Harry 's aunt learning
Harry 's aunt uncle 's prevention learning,are in,vain
Harry 's aunt,learning Despite,Harry 's aunt learning about Harry abilities
uncle 's desperate prevention learning,are in,vain
uncle 's prevention,learning Despite,Harry 's aunt learning about Harry abilities
uncle,has,prevention
Harry 's aunt learning,are in,vain
Harry 's aunt uncle 's desperate prevention learning,are in,vain
Harry,has,aunt
uncle 's prevention,learning Despite,Harry 's aunt
uncle 's desperate prevention,learning Despite,Harry 's aunt
uncle 's desperate prevention,learning about,his abilities efforts
Harry,Despite,aunt learning about Harry abilities
Harry 's aunt,learning Despite,Harry 's aunt
uncle 's desperate prevention,learning Despite,Harry 's aunt learning
uncle 's prevention learning,are in,vain
uncle 's prevention,learning about,his abilities efforts
Harry,meets,half giant
Harry first contact,is with,real world
Harry,meets,Rubeus Hagrid
Hagrid,reveals,Hagrid
Hagrid,be,Keeper of Keys at Hogwarts
Harry,of,history
Hagrid,be,Keeper
Hagrid,be Keeper of,Keys
Hagrid,be Keeper at,Hogwarts
Harry,witnessed,Harry parents ' murder by dark wizard
Harry,witnessed,Harry parents ' murder by obsessed dark wizard
Harry,witnessed,Harry parents ' murder
Harry,witnessed,Harry parents ' murder by power obsessed dark wizard
subsequently,kill,him
Harry,witnessed,Harry parents ' murder by wizard
Harry,witnessed,Harry parents ' murder by power obsessed wizard
Harry,witnessed,Harry parents ' murder by obsessed wizard
Harry,survived with,only shaped scar
Harry,survived with,scar on Harry forehead
Harry,survived with,shaped scar
Harry,survived with,lightning shaped scar
Harry,survived with,only scar
Harry,survived with,only scar on Harry forehead
Harry,survived with,scar
Harry,survived with,only lightning shaped scar
Harry,has become As,its inadvertent saviour from Voldemort 's reign
Harry,has become,living legend in world
Voldemort,from,reign of terror
Harry,has become,living legend in wizarding world
Harry,has become As,its inadvertent saviour
Harry,has become As,its inadvertent saviour from Voldemort 's reign of terror
Harry,has become As,its saviour from Voldemort 's reign
living legend,is in,wizarding world
Harry,has become,living legend
Harry,has become As,its saviour
Harry,has become As,its saviour from Voldemort 's reign of terror
him,treating,him
Harry,attend,school in Scotland
Harry,attend,school
Hagrid,invites,Harry
Hagrid,officially invites,Harry
Harry,attend,Hogwarts School
Harry,attend,famous school
Hogwarts School,school in,Scotland
Harry,attend,magic school
Harry,attend,Hogwarts School of Witchcraft
famous magic school,is in,Scotland
Harry,attend,famous magic school in Scotland
Hagrid,then officially invites,Harry
Harry,attend,magic school in Scotland
Witchcraft,of School is,famous magic school in Scotland
Harry,attend,famous magic school
Harry,attend,famous school in Scotland
Harry,prepares With,Hagrid 's help
Hagrid,With,help
Harry,prepares for,Harry year of study
Harry,prepares at,Hogwarts
Harry,prepares for,Harry year
Harry,prepares for,Harry first year of study
Harry,prepares for,Harry first year
reader,is introduced,As Harry begins
reader,is introduced,Harry begins
Harry,explore,magical world
Harry,explore,world
reader,is,introduced
Ron Weasley,witch of,non-magical parentage
Ron Weasley,member of,ancient large happy
Harry,encounters,Severus Snape
school,'s master is,Severus Snape
Harry,also encounters,Severus Snape
Harry,encounters,school 's potions master
Harry,quickly makes,enemies
Harry,makes,enemies
school,has,potions master
Harry house 's Quidditch team,sport in,wizarding world
Harry,also discovers,talent of flying on broomsticks
Harry house,for,Quidditch team
Harry,is recruited for,sport in wizarding world
sport,is in,wizarding world
Harry,is,recruited
Harry,also discovers,talent
Harry,discovers,talent of flying
Harry house,'s team is,sport in wizarding world
Harry,discovers,talent
Harry,discovers,talent of flying on broomsticks
Harry,is recruited for,sport
Harry,is recruited for,sport in world
Harry,also discovers,talent of flying
Harry,is recruited for,Harry house 's Quidditch team
everlasting life,turns,metal
Harry 's second confrontation,is with,Lord Voldemort
first book,concludes with,Harry 's confrontation with Lord Voldemort
everlasting life,turns metal into,gold
book,concludes with,Harry 's second confrontation with Lord Voldemort
first book,concludes with,Harry 's second confrontation
first book,concludes with,Harry 's confrontation
Philosopher,'s Stone is,substance
Harry,with,second confrontation with Lord Voldemort
life,turns metal into,gold
book,concludes with,Harry 's confrontation
Philosopher,of,Stone
life,turns metal into,pure gold
book,concludes with,Harry 's confrontation with Lord Voldemort
life,turns,metal
first book,concludes with,Harry 's second confrontation with Lord Voldemort
book,concludes with,Harry 's second confrontation
everlasting life,turns metal into,pure gold
series,continues with,Harry Potter
Harry,has,second year
series,continues with,Harry Potter describing Harry 's year at Hogwarts
series,continues with,Harry Potter describing Harry 's year
series,continues with,Harry Potter describing Harry 's second year
series,continues with,Harry Potter describing Harry 's second year at Hogwarts
He,investigate,mystery
friends,investigate,50 year old mystery
He,investigate,50 year old mystery
friends,investigate,mystery
Ron,has,younger sister
Ron 's younger sister,enrols in,her first year
enrols,is in,her first year
her,belongings,Tom Marvolo Riddle written during World War II
Ron,'s sister is,enrols in first year at Hogwarts
Ron,'s sister is,Ginny Weasley
Ron 's younger sister,enrols at,Hogwarts
Tom Marvolo Riddle,written during,World War II
mudbloods,of school is,describing wizards
He,is later revealed,Voldemort 's younger self
He,is later revealed,Voldemort 's self
He,is revealed,Voldemort 's younger self
He,is,revealed
He,is later revealed,to Voldemort 's younger self
He,be,Voldemort 's self
He,is later revealed,to Voldemort 's self
He,is revealed,to Voldemort 's self
He,is revealed,to Voldemort 's younger self
He,is revealed,Voldemort 's self
He,be,Voldemort 's younger self
He,is,later revealed
Ginny,begins,to confide in diary
Ginny,begins,confide in diary
Voldemort,possess,Ginny
memory,resides inside,diary
Ginny,begins,confide
Voldemort,is,able
Ginny,begins,to confide
Ginny,confide in,diary
Ginny,acts later Through,diary
Ginny,opens,Chamber
Voldemort,on,orders
Ginny,unconsciously opens,Chamber
Ginny,unleashing,monster
Ginny,acts on,Voldemort 's orders
Ginny,unconsciously opens,Chamber of Secrets
Ginny,acts Through,diary
Ginny,unleashing,ancient monster
Ginny,acts later on,Voldemort 's orders
Ginny,opens,Chamber of Secrets
direct eye contact,petrifies,those
direct eye contact,is with,Chamber of Secrets
Chamber,kills,those
those,Chamber of,Secrets
eye contact,petrifies,those
Chamber,introduces Defence Against,highly cheerful self conceited wizard with facade
new Defence,Chamber of,Secrets
Chamber,introduces Defence Against,Gilderoy Lockhart
Chamber,introduces Defence Against,cheerful wizard with pretentious facade
Chamber,introduces,Defence
Chamber,introduces Defence Against,wizard
cheerful conceited wizard,is with,pretentious facade
Chamber,introduces Defence Against,highly cheerful wizard with facade
Chamber,introduces Defence Against,self conceited wizard with facade
Chamber,introduces Defence Against,self conceited wizard
Chamber,introduces Defence Against,cheerful wizard
Chamber,introduces Defence Against,highly cheerful wizard with pretentious facade
Chamber,introduces Defence Against,cheerful self conceited wizard with pretentious facade
Defence,Chamber of,Secrets
Chamber,introduces Defence Against,wizard with facade
Chamber,introduces Defence Against,cheerful self conceited wizard with facade
Chamber,introduces Defence Against,highly cheerful wizard
Chamber,introduces,new Defence
Chamber,introduces Defence Against,cheerful self conceited wizard
Dark Arts teacher,wizard with,pretentious facade
Chamber,introduces Defence Against,wizard with pretentious facade
Chamber,introduces Defence Against,cheerful wizard with facade
Chamber,introduces Defence Against,Dark Arts teacher
Chamber,introduces Defence Against,highly cheerful self conceited wizard
Chamber,introduces Defence Against,self conceited wizard with pretentious facade
Chamber,introduces Defence Against,highly cheerful self conceited wizard with pretentious facade
prejudice,exists in,Wizarding World
witches,were,descended
Voldemort,has,reign of terror
school,into,history
Voldemort 's reign,was often directed at,wizards
prejudice,exists through,delving into school 's history
witches,were descended from,Muggles
Voldemort 's reign,was,directed
Voldemort 's reign,was,often directed
Voldemort 's reign,was directed at,wizards
prejudice,exists through,delving
Harry learns,associated with,Dark Arts
Harry ability,speak,snake language Parseltongue
Harry learns,often associated with,Dark Arts
Harry learns,is,rare
Harry,destroying part,as Harry Ron learn
Harry,destroying part,as Ron learn
Harry,destroying,part
Harry,destroying part,as Ron learn later
Harry,also destroying part,as Ron learn later
Harry,destroying,diary
Harry,also destroying part,Ron learn later
Harry,destroying part,as Harry Ron learn later
puzzles,unlock,Chamber
Harry,also destroying part,Harry Ron learn
Harry,also destroying,part
Harry,also destroying part,as Harry Ron learn
Harry,also destroying,part of Voldemort 's soul
Voldemort,of,soul
Harry,destroying part,Ron learn
Harry,destroying,diary for Ginny
Harry,destroying,diary for good Ginny
Harry,destroying part,Harry learn
Harry,also destroying part,as Harry Ron learn later
Harry,destroying part,as Harry learn later
Harry,destroying part,Ron learn later
Harry,also destroying part,Ron learn
Harry,also destroying part,as Harry learn later
Harry,also destroying part,as Harry learn
Harry,also destroying part,Harry learn later
Harry,destroying part,as Harry learn
puzzles,unlock,Chamber of Secrets
Harry,also destroying part,as Ron learn
Harry,diary for,Ginny
Harry,destroying part,Harry Ron learn
Harry,destroying part,Harry learn later
Harry,destroying,part of Voldemort 's soul
Harry,also destroying part,Harry Ron learn later
Harry,also destroying part,Harry learn
Harry,destroying part,Harry Ron learn later
Harry,diary for,good Ginny
Ginny,into,belongings
end,reveals,Draco 's father of Ron 's father
Lucius Malfoy,end of,Chamber of Secrets
Lucius Malfoy,be,culprit
Lucius Malfoy,father of,Ron 's father
Ron,of,father
Lucius Malfoy,end of,Chamber
end,reveals,Draco 's father
Draco,has,father of father
end,reveals,Lucius Malfoy
Harry,is in,Harry
third novel,follows,Harry
Harry Potter,follows,Harry
novel,follows,Harry in Harry
Prisoner,follows,Harry
Harry,Prisoner of,Azkaban
third novel,follows,Harry in Harry
novel,follows,Harry
Prisoner,follows,Harry in Harry
Harry Potter,follows,Harry in Harry
It,being,mentioned
does feature,is in,form
It,is,only book
It,being,only mentioned
only book,is in,series
It,is,book
Harry,been targeted by,Harry father 's best friend
Harry,Instead must deal with,knowledge
Harry,of,parents
Harry father,has,best friend
Harry,must deal with,knowledge
Harry,been targeted by,Harry father 's friend
Harry,been targeted by,Sirius Black
dark creatures,devour soul on,despair
soul,creatures,feed
soul,despair,feed
human soul,dark creatures,feed
soul,creatures with,power
soul,dark creatures with,power
creatures,devour soul on,despair
creatures,devour,human soul
dark creatures,is with,power
dark creatures,devour,human soul
human soul,creatures,feed
human soul,despair,feed
human soul,creatures with,power
dark creatures,devour,soul
creatures,devour,soul
Harry,struggles with,Harry reaction
soul,dark creatures,feed
Harry,reaches out to,Lupin
human soul,dark creatures with,power
level,executed by,people Harry age
Lupin,teaches,Harry measures
level,generally executed by,people Harry age
Lupin,teaches,Harry defensive measures
Black,was framed by,Black friend
Black,were friends of,his father
Ron,'s rat is,Scabbers
Ron,as,pet rat
Black,were,friends
Harry,comes,know
Black,were best friends of,his father
Black,were,best friends
Black,was framed by,Peter Pettigrew
Black,was framed by,Black fourth friend
theme,is,In Chamber emphasised in book there
theme,is emphasised in,book there
recurring theme,is,In Chamber of Secrets emphasised in book there
theme,is,In Chamber of Secrets emphasised in book there
recurring theme,is emphasised in,book there
recurring theme,is,In Chamber emphasised in book there
